"","date","Same","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same.1"
"338",1989-08-15,2.4,16954,0,0,15.3000001907349,12.6999998092651,18.5000004768371,0,13.0999997854233,41.2000002861024,3.5,13.1999998092651,0,4.80000019073486,8.90000009536743,0,0,91.8000001907349,0,0,37.6999998092651,0,0,0,7.59999990463257,75.6999996900559,78.9000010490419,7.29999995231629,0.5,0
"339",1989-08-22,0,17003,0,0,72.7999992370605,50.3000009059906,49.8999993801117,21.6000001430511,57.1000008583069,61.8999993801116,38.3999993801116,10.7000000476837,0,30.2999997138977,38.8000001907349,11.3999998569489,43.8000001907348,65.5000008940698,30.6999998092651,20,34.6000003814698,24,0,0,28.900000333786,56.8999991416932,72.3000011444092,36.5999989509582,0,0
"340",1989-08-29,0.5,17052,0,0,22.5,16.099999666214,2.29999995231628,8.29999995231628,62.7999992370605,77.0000002384187,2.29999995231628,29.5,0,14.7999994754792,11.400000333786,10.8000001907349,10.2000000476837,77.2999992370606,0,16.3000003099441,34.0999999046326,15.5000004768371,0,0,7.5,74.800000667572,64.3000011444091,15.7000002861023,0.5,0
"341",1989-09-05,4.3,17101,0,0,67.0999999046326,51.2000007629395,56.8000016212463,36.7000000476837,48.5999999046326,49.5999994277954,68.4000000953675,0,0,58.6999994516373,65.4999999999999,0,60.7000013589859,86.9000000953674,13.1000003814697,10.4999997615814,0,0,0,0,33.9000005722047,78.2999999523162,48.9999990463257,64.8000001907349,0,0
"342",1989-09-12,0,17150,7.90000009536743,0,69.5000002384186,31.300000667572,42.6999990940094,9.90000009536744,54.2000007629394,52.0999999046326,38.6000006198883,11.7999995946884,0,19.2999997138977,27.6999994516373,0,27.5999999046326,84.0000009536744,26.6999998092651,19.7999997138977,5.80000019073486,17.4999995231629,1.29999995231628,0,23.0000005960464,63.3999996185302,52.1000003814697,36.4999997615814,0,0
"343",1989-09-19,0,4909,0,0,34,39.6999988555908,35.8999996185303,19.2999997138977,26.7000002861023,30.3000001907349,37.5999994277954,3.79999995231628,0,29.7999992370606,31.1999998092651,19.2000007629395,38.1999988555908,40.6000003814698,21.2000002861023,25.5,11.6999998092651,21.1000003814698,0,0,31.4000005722046,40.1999988555908,20,29.9000005722046,11.6999998092651,0
"344",1989-09-26,0,4933,0,0,4.5,22.5,16.6000003814697,16.3000001907349,6,3.29999995231628,20,0,0,15,16.5,24.2000007629395,15.3000001907349,13.4999996423722,29.8999996185303,24.2999992370605,0,14.5,0,0,20.8999996185303,11.3999996185303,5.40000009536743,15.8999996185303,0,0
"345",1989-10-03,2.6,17297,0,0,60.6999998092652,66.9999997615814,57.5000009536744,45.400000333786,54.1999983787537,48.2999993562698,70.4999992847443,26.8999996185302,0,42.4999997615814,55.7999999523163,70.900001525879,65.2000000476837,54.5,93.2000017166137,31.9000006914139,58.100000858307,28.2000002861023,0,0,50.7000000476837,52.5999999046326,28.700000345707,61.4999995231629,17.7999992370605,18.7000007629395
"346",1989-10-10,0,17346,12.6999998092651,0,32.7000007629394,67.1000003814697,70.399998664856,25.1000000238419,35.199999332428,23.8000001907349,79.7999992370606,29.6999999284745,0,46.3000001907349,31.2000006437301,66.100001335144,55.6000003814697,19.6999994516373,89.7999992370605,38.5999994277954,26,31,0,0,47.4999992847442,22.2000000476837,7.10000014305115,45.5999999046326,0,0
"347",1989-10-17,10.9,17395,30.0000004768372,0,50.0000019073486,50.2000007629394,60.3999996185302,35.6000001430512,45.0000004768372,3.60000014305115,59.4999991655349,36.2000007629394,0,42.6999998092651,45.6000008583069,32.8999996185303,58.1000003814696,8.69999980926514,28.1999993324279,24.3999996185303,6.69999980926514,12.8000001907348,0,0,33.9000000953674,8.30000019073486,3.20000004768372,49.9999990463257,0,18.7000007629395
