Accra.KIA,Akatsi,Akim.Oda,Akuse,Asamankese,Axim,Babile,Begoro,Bole,Dodoma,GilgilKwetu,Ho,Kigoma,Koforidua,Kumasi,Lake Manyara,Mbeya,Mtwara,Musoma,Nsawam,Pokuase,Same,Songea,Takoradi,Tamale,Tema,Wenchi,Yendi,date
67.0,110.22999999999999,175.5,56.400000000000006,16.8,50.400000000000006,18.2,132.8,77.9,39.0,200.9,91.5,166.2,94.5,166.9,160.8,124.0,87.1,277.1,93.5,22.6,16.7,74.8,53.5,63.3,14.0,176.4,64.9,1985-04
212.7,210.6,369.4,121.4,151.5,429.5,104.6,167.6,132.2,1.3,105.9,126.9,28.1,195.0,105.2,72.9,37.6,343.5,136.2,129.7,147.6,81.6,6.300000000000001,171.0,73.8,171.7,116.3,85.6,1985-05
121.6,14.780000000000001,184.4,120.30000000000001,145.4,497.7,257.5,49.8,150.4,0.0,124.39999999999999,129.5,19.7,112.1,159.20000000000002,10.3,0.0,81.0,23.9,117.5,172.5,4.2,1.4,185.8,193.4,94.0,131.1,161.3,1985-06
23.3,7.489999999999999,117.4,202.3,182.0,116.39999999999999,143.1,324.4,192.1,0.0,111.60000000000001,283.6,2.6,235.4,417.1,6.9,0.0,20.6,29.1,192.7,154.9,5.4,5.699999999999999,45.2,273.0,8.6,237.0,232.5,1985-07
20.8,22.389999999999997,108.6,92.6,14.0,116.4,219.2,283.3,155.4,0.0,121.6,179.2,2.2,174.4,96.5,5.8,0.0,24.4,20.7,40.4,43.4,1.5,1.0,62.199999999999996,165.1,46.3,186.1,271.4,1985-08
37.5,9.620000000000001,159.7,151.5,197.6,51.7,219.0,187.7,361.0,0.0,72.0,123.6,10.0,238.3,202.8,2.1,0.0,26.700000000000003,22.400000000000002,62.2,65.4,1.0,3.1,34.5,178.8,23.9,243.3,198.9,1985-09
52.2,59.56,170.7,224.4,177.4,79.5,12.2,24.799999999999997,47.199999999999996,0.0,27.3,136.9,32.6,244.9,99.7,43.2,0.3,16.6,34.699999999999996,165.7,83.1,50.7,0.0,64.8,52.199999999999996,98.2,169.8,90.2,1985-10
64.2,13.709999999999999,82.7,37.5,10.8,199.0,0.0,63.99999999999999,18.0,46.7,52.5,130.6,216.9,60.5,110.4,140.4,181.9,22.0,89.7,84.8,127.60000000000001,36.7,142.70000000000002,111.8,0.0,21.1,70.1,28.4,1985-11
7.9,1.53,18.1,2.0,0.0,9.2,0.0,8.5,0.0,77.0,17.6,2.8,221.5,5.2,0.0,79.6,178.3,8.4,69.9,12.2,0.0,44.4,166.8,26.2,0.0,0.0,0.0,0.0,1985-12
0.0,0.0,0.0,0.8,11.7,0.0,0.0,0.3,0.0,116.7,1.8,2.1,204.7,0.0,0.0,93.0,235.0,116.7,47.199999999999996,35.3,0.0,128.70000000000002,437.1,0.0,0.0,0.0,4.2,0.0,1986-01
63.7,0.0,41.7,57.4,101.39999999999999,55.7,34.0,37.2,3.8,79.7,0.0,212.7,167.29999999999998,108.89999999999999,132.1,25.400000000000002,177.3,129.9,115.3,107.7,13.3,0.0,170.5,62.3,0.0,47.3,11.0,0.4,1986-02
65.9,131.5,203.9,123.10000000000001,116.89999999999999,125.3,10.2,134.1,59.199999999999996,75.3,13.7,100.2,89.2,83.89999999999999,64.4,135.9,191.6,298.40000000000003,141.5,143.4,43.9,19.4,244.5,20.0,43.2,28.6,116.8,26.1,1986-03
19.799999999999997,93.8,90.6,102.3,162.3,147.6,50.4,61.50000000000001,60.599999999999994,24.8,154.8,125.7,130.8,115.7,70.7,191.7,92.7,155.0,235.70000000000002,118.8,111.0,102.4,86.5,50.4,80.0,27.9,164.7,68.5,1986-04
144.1,93.3,207.5,220.5,109.1,224.8,68.3,120.6,152.7,19.6,93.5,186.79999999999998,67.3,126.7,154.8,165.6,7.0,248.0,139.2,147.29999999999998,187.7,115.3,2.7,99.4,149.8,85.5,102.6,50.0,1986-05
60.699999999999996,214.5,77.6,79.89999999999999,124.0,807.3,173.8,118.3,147.2,0.0,61.2,117.3,4.7,84.1,268.0,5.4,0.0,121.5,20.400000000000002,64.4,69.2,18.9,2.7,185.2,172.6,63.4,114.4,196.6,1986-06
33.1,28.1,133.9,42.0,137.29999999999998,304.7,174.5,138.9,156.9,0.0,116.0,200.6,2.3,204.5,176.3,0.5,0.0,11.0,14.1,79.0,64.3,0.0,0.0,163.60000000000002,168.1,0.8,100.30000000000001,220.2,1986-07
0.8,2.0,17.5,22.900000000000002,16.0,7.0,262.5,64.4,126.80000000000001,0.0,68.4,21.0,3.1,52.9,68.5,3.5,0.0,3.6,11.7,10.5,0.0,1.1,0.0,21.3,131.8,0.0,109.9,177.2,1986-08
29.900000000000002,76.2,136.3,113.39999999999999,131.1,100.2,297.3,238.4,189.79999999999998,0.0,93.7,62.099999999999994,12.0,118.2,114.2,0.6,0.0,11.299999999999999,11.100000000000001,116.2,72.89999999999999,0.0,0.0,18.6,178.5,5.3,178.29999999999998,235.5,1986-09
83.1,99.3,158.8,94.5,123.7,162.5,58.6,133.70000000000002,124.1,0.0,62.7,154.1,78.1,136.3,170.6,58.1,82.1,7.2,104.9,120.4,113.89999999999999,5.5,11.299999999999999,51.9,126.0,73.2,219.79999999999998,147.29999999999998,1986-10
38.5,43.0,34.3,31.5,47.4,117.9,46.0,20.2,13.3,1.0,34.0,45.5,114.1,57.6,13.0,93.9,66.0,36.6,61.599999999999994,40.4,64.6,73.7,59.0,61.4,32.3,6.1000000000000005,47.5,15.5,1986-11
5.6,0.0,5.3,0.0,0.0,4.1,0.0,0.3,0.0,157.8,46.4,0.0,163.8,3.3,0.0,160.8,250.9,23.6,220.6,0.0,1.2,116.9,342.9,8.3,0.0,29.9,0.0,0.0,1986-12
3.8,0.0,36.599999999999994,1.3,30.7,79.10000000000001,0.0,1.5,0.0,330.8,9.7,8.5,66.9,21.7,5.8999999999999995,142.70000000000002,247.3,9.0,56.2,20.1,4.0,96.4,287.3,5.1,0.0,24.0,0.0,1.2,1987-01
3.3,32.7,86.19999999999999,4.1,7.6,1.6,0.0,69.6,8.4,84.6,17.0,17.1,83.6,95.1,64.8,96.6,166.8,105.60000000000001,116.7,12.799999999999999,13.4,50.0,219.2,19.5,0.0,5.2,24.2,0.0,1987-02
21.700000000000003,74.8,92.5,117.39999999999999,161.8,184.4,1.3,108.5,51.6,126.9,74.1,155.9,104.3,55.1,110.0,135.1,76.3,355.09999999999997,121.1,150.7,118.1,52.9,258.4,39.8,28.0,42.6,132.4,48.4,1987-03
