date,Bole,Takoradi,Tamale,Accra.KIA,Yendi,Pokuase,Koforidua,Kumasi,Ho,Akatsi,Babile,Tema,Akuse,Axim,Akim.Oda,Wenchi,Asamankese,Nsawam,Begoro
1981-05-24,0.0,19.6,0.0,0.0,0.0,0.0,0.0,10.6,2.0,0.0,0.0,0.0,0.0,20.6,0.5,7.3,0.0,0.0,4.6
1981-05-25,4.6,69.3,0.0,3.1,8.6,0.0,0.5,0.0,0.0,0.0,0.0,10.7,0.0,72.4,8.6,0.5,8.6,2.5,6.1
1981-05-26,0.0,5.8,0.0,14.9,0.0,5.8,4.8,4.7,0.0,0.0,0.0,11.5,2.3,45.7,35.8,0.5,13.7,19.3,0.8
1981-05-27,33.0,20.6,12.5,3.1,0.8,10.5,24.9,9.4,88.1,0.0,38.9,5.6,0.5,70.9,33.8,0.5,18.8,1.0,19.1
1981-05-28,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0
1981-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-05-30,16.5,7.9,18.8,0.0,26.8,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5
1981-05-31,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1981-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
1981-06-02,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,14.2,0.0,0.0,0.0,30.5,0.0,8.9,0.0,34.8,29.0,3.8
1981-06-03,0.0,2.5,0.0,2.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.1,0.0,0.3,0.0,0.0,0.0,0.5,0.0
1981-06-04,0.0,0.3,6.4,1.3,0.0,0.0,0.8,0.0,4.1,0.0,0.0,4.1,0.0,0.8,1.8,0.0,2.0,0.0,0.8
1981-06-05,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.3,10.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1981-06-06,0.0,0.0,0.0,3.0,0.0,3.3,5.1,0.0,1.8,0.0,9.1,0.0,0.0,10.7,20.1,0.0,0.0,0.0,5.1
1981-06-07,1.0,22.9,0.0,15.7,0.0,13.4,33.6,2.0,22.9,0.0,0.0,20.3,66.5,13.5,26.4,0.5,74.9,33.0,14.5
