"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"87",1982-08-26,0,0,22.8,2,45.2,14.8,0.5,38.6,26.4,0,10.6,9.4,4.1,21.1,0,28.2,9.3,33.1,18.8,1,0,0,2.1,14,43.7,15.5,0,0
"88",1982-09-02,0,0,43.6,0,1.5,0,0.5,75.4,0,3.7,0.5,1,9.4,0.3,0,87.5,29.3,0,26.4,0,0,0,0,144,38.9,11.4,0,0
"89",1982-09-09,0,0,45.8,0,3.1,28.2,1.8,30.1,2.5,15.3,0.5,0,2.1,0.8,0.5,75.3,30.6,26.7,17.3,0,0,0,0,65.2,41.1,36.8,4.9,24
"90",1982-09-16,1.5,0,42.4,0,2.8,3.6,0,60,1.3,17.3,0,0,0.3,0,0,16.6,25.6,2.3,10.4,0,0,0,0,19.3,12.5,2.5,4.3,0
"91",1982-09-23,6,0,40.8,0.3,4.6,3.8,0,23.9,0,26.8,0,0,0.3,0,0,66.2,16.8,0,39.4,0,0,0,0,85.3,15.8,0,23.2,10.2
"92",1982-09-30,1.9,7.7,61.6,5.6,5.3,95,0,74.7,22.9,1.5,1,11.9,32.5,80.5,0,24.9,22.1,67.8,0,13.7,0,0,16.2,48,52,32.5,0,22.7
"93",1982-10-07,0,0,49.1,14.3,74.1,39.8,25,26.4,87.6,9.5,0.2,39.4,45,120.5,6.7,27.1,33.8,92,18.1,16.2,6.5,9.8,40.2,1.2,10,29.3,74.8,63.1
"94",1982-10-14,67,0,41.5,16.8,17.1,49.3,25.5,0.8,80.5,77,0,44.2,42.3,19.8,0,7.3,12.8,41.9,63.3,14.8,0,0.9,41.5,1.6,6.1,25,127.1,37.3
"95",1982-10-21,70.2,16.8,33.4,0,2.3,25.7,68,8.1,58.7,28.3,0,67.4,85.9,29.2,0,2.3,43.2,65.4,10.2,3.3,0,28.4,6.4,0,15,19.8,19.7,10.7
"96",1982-10-28,35.5,0,30.3,0,20.4,31.2,13,69.4,32.8,64.3,0,1,1.3,8.6,0,18.4,25.3,48,42.2,0,0,6,12,28.9,42.2,1.2,4.4,4
