"","date","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","Tema","Pokuase","Tamale","Babile","Begoro"
"76",1981-03-17,1.51754999160767,1.22693538665771,1.78348815441132,2.21657586097717,0,0,1.31717193126678,1.10844993591309,0.552887797355652,1.56254637241364,1.33389520645142,0,0,0.860506117343903,0.891719996929169,0,0,0,0
"77",1981-03-18,6.7783899307251,10.8851203918457,10.8058404922485,2.94122576713562,0,0,10.1292362213135,9.83394241333008,3.33780407905579,4.01589059829712,11.8340463638306,2.33202600479126,8.83706855773926,5.83647537231445,6.04818725585938,9.68167209625244,0,0,4.50924301147461
"78",1981-03-19,10.6430835723877,8.99752712249756,10.9317321777344,4.13476705551147,27.4162311553955,0.742503762245178,11.1124782562256,8.12863349914551,8.64143180847168,4.35176515579224,9.78189849853516,0,9.57616901397705,0.598612844944,0.62032687664032,4.55608129501343,0,0,7.28605318069458
"79",1981-03-20,8.57921504974365,4.37292385101318,6.02189588546753,1.68374514579773,22.3857307434082,4.75202417373657,7.32792711257935,3.95062971115112,3.39923548698425,2.66509079933167,4.75413990020752,3.84784340858459,5.86460018157959,0.636026203632355,0.65909731388092,3.07535481452942,2.98254418373108,3.31443071365356,6.32768535614014
"80",1981-03-21,4.26112174987793,2.78713512420654,3.98645639419556,4.17880964279175,1.08205842971802,11.8524503707886,3.69191908836365,2.50102877616882,2.71748733520508,0.0616583861410618,2.69463682174683,0,1.51353240013123,2.74458026885986,2.84665012359619,1.39993977546692,2.10962510108948,0,5.12592554092407
"81",1981-03-22,3.13477468490601,4.27249479293823,4.89808797836304,1.85434675216675,0,0,4.38273811340332,3.83391261100769,0.703927516937256,0.0676253288984299,4.13070106506348,0,1.66000330448151,2.08482551574707,2.1623592376709,2.58856773376465,0,0,3.42776656150818
"82",1981-03-23,6.12027454376221,8.61174774169922,10.924126625061,4.57057332992554,0,0,8.8334264755249,7.72772979736328,5.3531231880188,0.250362873077393,8.32594299316406,0,6.14567375183105,3.82657861709595,3.96888709068298,6.28652191162109,0,0,7.46875715255737
"83",1981-03-24,1.32990455627441,2.57017254829407,2.31770730018616,0.457057356834412,3.14145994186401,2.4766309261322,2.98977494239807,2.30633807182312,2.65200591087341,0.162101894617081,2.48487448692322,0.432592064142227,3.97912573814392,1.50424122810364,1.56018316745758,2.65460252761841,0,0,4.71710920333862
"84",1981-03-25,4.07113599777222,1.61887526512146,3.39930391311646,1.33199548721313,3.69994139671326,0,2.62737822532654,1.45269346237183,1.78437435626984,0.0676253288984299,1.56514835357666,3.84526252746582,1.66000330448151,0.263901948928833,0,1.10938608646393,0,7.96890211105347,2.46862053871155
"85",1981-03-26,6.89318084716797,0.439228087663651,2.06224608421326,2.45003581047058,0.447106301784515,0,1.78516101837158,0.478781849145889,4.30470943450928,0,0.350128620862961,0,0,0,0,0,0,3.46422386169434,4.21814489364624
"86",1981-03-27,22.3384819030762,14.582371711731,12.6184949874878,18.6976432800293,4.32202816009521,0.544767618179321,8.92580699920654,15.8955574035645,15.6285629272461,8.21370315551758,11.6242713928223,6.236496925354,5.76571035385132,7.94688510894775,9.16740417480469,14.0587348937988,3.44509816169739,0,6.24132776260376
"87",1981-03-28,7.32221794128418,0,4.77787637710571,1.33247578144073,0.108389407396317,9.50316715240479,2.74640202522278,0,1.45318210124969,6.35975360870361,0,0,4.46430730819702,6.63917064666748,7.65884447097778,0,3.44509816169739,1.15474128723145,3.32107353210449
"88",1981-03-29,13.0713024139404,8.87240695953369,7.39141654968262,11.4335012435913,2.2355318069458,0.907945930957794,6.57763290405273,9.67139339447021,11.2415981292725,4.02471446990967,7.07259798049927,12.472993850708,2.82519793510437,3.42017865180969,3.94546556472778,4.37092924118042,0,0,7.7300853729248
"89",1981-03-30,4.11874723434448,2.95746898651123,1.87848138809204,0,0,0,2.04606938362122,3.22379779815674,0,3.08600568771362,2.35753273963928,0,2.16625952720642,0.301780432462692,0,1.50046825408936,0,0,3.49285364151001
"90",1981-03-31,3.14626526832581,0,0,0,0.948407411575317,2.36065936088562,0,0,0,0,0,0,0,0,0,0,0,0,0
