"","date","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Tamale","Babile","Begoro","Lake Manyara","Same"
"144",1986-11-16,32295,454,61,40,46,26,25,14,0,52,106,32,46,21,45,0,51,21,74,3,7,59,0,0,21,68,13
"145",1986-12-01,32520,185,127,2,14,9,6,1,0,15,75,8,9,11,8,0,27,8,138,5,85,106,0,0,1,871,49
"146",1986-12-16,32745,186,179,0,0,0,0,0,0,0,342,0,0,3,0,0,15,0,21,0,67,178,0,0,0,546,11
"147",1986-12-31,32970,111,128,6,14,3,12,2,0,20,159,10,14,3,8,0,34,5,35,3,100,73,0,0,0,977,28
"148",1987-01-15,33195,90,62,10,15,18,6,37,1,30,36,12,18,12,12,0,23,5,5,1,70,40,0,0,2,720,0
"149",1987-01-30,33420,121,123,31,49,39,18,24,0,45,40,22,34,6,41,2,51,15,15,2,72,76,0,0,13,473,17
"150",1987-02-14,33645,165,71,28,67,57,47,69,9,78,37,66,72,14,64,0,65,28,13,13,10,58,1,1,32,326,1
"151",1987-03-01,33870,148,100,24,56,53,35,59,15,76,68,38,46,41,45,36,90,32,48,17,61,84,38,8,23,305,16
"152",1987-03-16,34095,157,137,72,61,71,67,132,28,76,57,70,95,25,65,35,68,38,42,24,51,78,57,32,51,268,7
"153",1987-03-31,34320,199,80,21,39,54,35,49,19,59,103,28,38,30,45,14,62,20,115,15,28,120,12,6,31,294,25
"154",1987-04-15,34545,281,23,41,39,54,37,60,20,65,4,24,39,23,27,4,37,21,25,14,22,61,9,0,8,329,30
"155",1987-04-30,34770,303,15,21,42,66,45,37,40,56,18,58,55,60,45,22,91,35,199,35,8,25,42,25,34,85,19
"156",1987-05-15,34995,265,12,41,67,62,51,57,59,84,19,58,60,99,50,44,132,57,310,56,1,2,37,36,25,33,40
"157",1987-05-30,35220,14,0,45,63,53,42,72,52,75,3,56,66,104,54,53,123,86,163,134,0,0,49,57,40,32,6
"158",1987-06-14,35445,3,0,32,69,83,52,40,21,87,0,67,83,79,77,38,152,50,25,47,0,0,22,34,56,0,0
"159",1987-06-29,35670,0,0,27,44,69,24,48,15,77,3,49,47,55,46,46,100,26,57,13,0,0,24,20,30,2,0
"160",1987-07-14,35895,2,1,82,79,107,59,125,58,149,2,97,114,50,83,46,91,42,20,25,0,0,34,51,70,0,2
"161",1987-07-29,36120,1,2,84,85,127,84,94,79,134,0,117,137,74,111,107,138,50,19,29,0,0,118,82,114,0,3
"162",1987-08-13,36345,18,6,71,158,183,113,96,110,161,8,245,172,56,188,135,97,134,154,171,0,1,125,125,224,2,15
"163",1987-08-28,36570,0,4,114,188,172,90,108,109,237,3,139,184,53,162,122,68,228,5,68,0,0,102,60,134,0,1
"164",1987-09-12,36795,27,1,82,149,128,109,152,73,211,1,117,152,142,152,94,165,100,3,66,0,0,89,81,116,8,0
