,date,Sum,Sum_Tanz,Sum_Tanz_ch,Sum_Tanz_AG,Sum_Ghana_ch,Sum_Ghana_AG,month
144,1981-05-25,195.49999999999997,2.5,0.0,1.0,108.3066300153733,55,May
145,1981-05-26,165.60000000000002,0.8,0.0,2.0,100.3736182153225,190,May
146,1981-05-27,392.0,32.9,1.29185497760773,7.0,126.12121593952183,280,May
147,1981-05-28,4.5,0.0,8.82271099090576,6.0,96.67841672897339,54,May
148,1981-05-29,0.3,13.8,8.80748653411865,0.0,43.81602182984353,10,May
149,1981-05-30,79.39999999999999,5.9,4.51818323135376,0.0,113.55230075120922,73,May
150,1981-05-31,6.2,7.5,2.25909161567688,0.0,147.04591238498676,113,May
151,1981-06-01,3.7,5.4,7.80992460250854,3.0,99.56760454177851,108,Jun
152,1981-06-02,135.70000000000002,1.9,0.0,2.0,20.75673437118527,56,Jun
153,1981-06-03,6.800000000000001,4.2,4.51285839080811,1.0,123.57241964340203,91,Jun
154,1981-06-04,22.400000000000002,16.3,5.19959735870361,1.0,16.88679790496826,31,Jun
155,1981-06-05,18.5,9.0,1.98989880084991,0.0,9.52799463272095,19,Jun
156,1981-06-06,58.2,11.5,4.30972194671631,0.0,25.54082822799684,75,Jun
157,1981-06-07,361.1,2.9,11.82926821708679,1.0,154.213406085968,75,Jun
158,1981-06-08,33.3,0.0,0.0,5.0,45.03268575668334,127,Jun
159,1981-06-09,108.49999999999999,1.0,3.28760147094727,5.0,12.25917994976044,62,Jun
160,1981-06-10,173.2,0.0,0.0,9.0,92.84126925468443,81,Jun
161,1981-06-11,13.6,2.6,4.00686025619507,4.0,103.70930469036097,76,Jun
162,1981-06-12,32.800000000000004,0.0,0.0,4.0,10.79026889801025,40,Jun
163,1981-06-13,335.3,0.0,0.0,4.0,219.97554087638835,89,Jun
164,1981-06-14,32.2,4.6,0.0,1.0,133.8754065036774,103,Jun
165,1981-06-15,39.599999999999994,4.3,0.0,1.0,24.12254297733307,82,Jun
166,1981-06-16,31.3,0.0,0.0,0.0,6.984850645065309,42,Jun
167,1981-06-17,76.8,0.0,0.0,0.0,84.87300872802733,85,Jun
168,1981-06-18,149.70000000000002,9.7,0.0,0.0,164.90034079551694,176,Jun
169,1981-06-19,208.1,0.4,0.0,0.0,155.40230607986447,130,Jun
170,1981-06-20,245.0,0.0,0.0,0.0,311.2564949989319,103,Jun
171,1981-06-21,441.49999999999994,3.6,4.00651884078979,0.0,403.0471639633177,119,Jun
172,1981-06-22,148.3,0.0,0.0,0.0,200.23717212677013,87,Jun
173,1981-06-23,530.6,0.0,3.39659738540649,0.0,261.6276924610136,251,Jun
174,1981-06-24,62.5,0.0,0.0,0.0,264.8374724388124,268,Jun
175,1981-06-25,0.3,0.0,0.0,0.0,371.02809667587303,8,Jun
176,1981-06-26,80.1,0.4,0.0,0.0,182.94929838180553,34,Jun
177,1981-06-27,98.99999999999999,12.4,0.0,0.0,167.1921405792237,98,Jun
178,1981-06-28,46.800000000000004,2.7,0.0,0.0,52.171402692794814,80,Jun
179,1981-06-29,89.5,0.0,8.70226478576661,8.0,46.54392766952516,83,Jun
180,1981-06-30,24.6,0.0,0.0,0.0,9.00120854377746,43,Jun
181,1981-07-01,13.900000000000002,1.6,0.0,0.0,85.64443778991698,46,Jul
182,1981-07-02,13.399999999999999,0.0,7.95539522171021,0.0,101.30375051498423,56,Jul
183,1981-07-03,83.50000000000001,0.0,0.0,0.0,89.94552850723267,19,Jul
184,1981-07-04,150.6,0.0,0.0,0.0,173.26765346527088,128,Jul
185,1981-07-05,452.2,0.0,0.0,0.0,116.77973699569701,374,Jul
186,1981-07-06,53.09999999999998,20.0,0.0,0.0,170.27360534667963,203,Jul
187,1981-07-07,425.1,7.0,0.0,0.0,95.0633157491684,84,Jul
188,1981-07-08,131.70000000000002,2.2,0.0,0.0,303.93317651748646,183,Jul
189,1981-07-09,28.0,4.9,12.52727890014649,0.0,121.80109071731549,96,Jul
190,1981-07-10,125.0,9.7,0.0,1.0,107.76176702976227,100,Jul
191,1981-07-11,2.6,12.7,2.70909786224365,1.0,46.2107944488525,36,Jul
192,1981-07-12,15.0,1.7000000000000002,0.0,0.0,4.30959606170654,16,Jul
193,1981-07-13,130.3,14.7,0.0,0.0,6.36836814880371,27,Jul
194,1981-07-14,88.99999999999999,20.1,0.0,0.0,221.24692249298093,94,Jul
195,1981-07-15,47.599999999999994,0.9,0.0,1.0,40.86416578292841,86,Jul
196,1981-07-16,17.1,0.0,0.0,1.0,44.54202699661254,42,Jul
197,1981-07-17,119.7,2.5,0.0,1.0,33.11147069931032,131,Jul
198,1981-07-18,41.0,2.5,0.0,0.0,23.00246906280517,99,Jul
199,1981-07-19,205.20000000000002,3.3000000000000003,0.0,0.0,11.95571136474609,34,Jul
200,1981-07-20,108.5,31.2,0.0,0.0,44.03601455688474,241,Jul
201,1981-07-21,51.599999999999994,13.2,0.0,0.0,13.79718112945557,17,Jul
202,1981-07-22,151.7,0.0,0.0,0.0,43.67073249816895,28,Jul
203,1981-07-23,42.2,0.0,0.0,0.0,72.6013898849487,56,Jul
204,1981-07-24,12.8,0.0,14.242486000061,0.0,38.25617456436159,42,Jul
205,1981-07-25,33.6,0.0,0.0,0.0,35.81321334838864,63,Jul
206,1981-07-26,9.1,4.4,0.0,0.0,161.78107929229736,25,Jul
207,1981-07-27,39.2,4.0,0.0,0.0,94.36149168014522,28,Jul
208,1981-07-28,64.5,0.0,0.0,0.0,21.76612377166752,36,Jul
209,1981-07-29,56.69999999999999,0.0,0.0,0.0,14.52393817901611,33,Jul
210,1981-07-30,15.3,8.5,0.0,0.0,0.0,37,Jul
211,1981-07-31,92.6,0.0,8.25688648223877,0.0,15.651242733001709,16,Jul
212,1981-08-01,97.0,0.0,5.09616613388062,0.0,67.24266242980957,45,Aug
213,1981-08-02,130.6,0.0,0.0,0.0,16.33944034576416,97,Aug
214,1981-08-03,81.7,1.6,0.0,0.0,156.17070317268377,135,Aug
215,1981-08-04,27.6,1.9,0.0,0.0,35.86726188659668,52,Aug
216,1981-08-05,185.6,0.8,0.0,0.0,167.25020599365246,99,Aug
217,1981-08-06,3.6999999999999997,0.0,0.0,0.0,37.200235366821296,52,Aug
218,1981-08-07,2.8,0.0,0.0,0.0,6.25995874404907,11,Aug
219,1981-08-08,3.6999999999999997,0.0,0.0,0.0,83.80083465576173,33,Aug
220,1981-08-09,22.6,0.0,4.33762836456299,0.0,28.05251169204712,40,Aug
221,1981-08-10,31.9,0.0,0.0,0.0,93.4271116256714,41,Aug
222,1981-08-11,77.39999999999999,0.0,0.0,1.0,48.30390262603765,39,Aug
223,1981-08-12,4.0,0.0,0.0,1.0,51.75574922561642,67,Aug
224,1981-08-13,31.2,0.0,3.94607067108154,2.0,202.68205308914187,59,Aug
225,1981-08-14,7.8999999999999995,0.0,0.0,0.0,5.93760967254639,16,Aug
226,1981-08-15,279.5,2.3,0.0,0.0,9.02721905708313,91,Aug
227,1981-08-16,49.5,6.5,7.71554708480835,19.0,96.32733106613158,44,Aug
228,1981-08-17,255.30000000000004,0.0,2.84589838981628,5.0,11.1336622238159,120,Aug
229,1981-08-18,215.79999999999995,0.0,0.0,12.0,336.79183530807506,70,Aug
230,1981-08-19,33.5,6.8999999999999995,6.15556049346924,22.0,104.4521884918213,50,Aug
231,1981-08-20,0.4,2.3,0.0,0.0,71.50941276550292,4,Aug
232,1981-08-21,48.199999999999996,3.9,0.0,0.0,0.0,1,Aug
233,1981-08-22,61.3,2.3,0.0,0.0,42.255703151226,12,Aug
234,1981-08-23,44.9,0.0,0.0,0.0,2.64184665679932,27,Aug
235,1981-08-24,156.4,1.3,0.0,0.0,0.313833206892014,28,Aug
236,1981-08-25,9.5,1.7,3.27118158340454,1.0,43.64554786682125,50,Aug
237,1981-08-26,0.0,0.7,0.0,0.0,17.76660490036014,17,Aug
238,1981-08-27,18.9,2.6,0.0,0.0,23.70403480529787,16,Aug
239,1981-08-28,17.0,2.0,0.0,0.0,35.7230195999145,87,Aug
240,1981-08-29,2.3,5.6,0.0,3.0,0.0,17,Aug
241,1981-08-30,3.2,4.0,9.01274418830872,6.0,5.95494413375854,19,Aug
242,1981-08-31,122.29999999999998,18.299999999999997,3.10636639595032,1.0,97.19372558593743,15,Aug
243,1981-09-01,79.8,3.1,0.0,0.0,84.64019536972047,49,Sept
244,1981-09-02,71.6,1.8,0.0,19.0,117.12175846099855,8,Sept
245,1981-09-03,52.599999999999994,3.1,4.59190320968628,10.0,117.61815190315232,107,Sept
246,1981-09-04,138.9,0.0,0.0,1.0,125.55919885635377,97,Sept
247,1981-09-05,26.1,0.8,0.0,0.0,100.7609314918518,64,Sept
248,1981-09-06,29.599999999999998,1.6,0.0,0.0,57.94350516796105,63,Sept
